Station_name,State,District,Agency_name,Date,level,lat,long,Telemetry
Kumrahawan,Uttar Pradesh,Lucknow,CGWB,2018-11-30,4.09,27.08333333,80.97222222,2
Kunabimar,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,2.35,25.01666667,82.61388889,2
Kunda,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,7.13,25.71500000,81.52166667,2
Kuraoli Pz-GWD,Uttar Pradesh,Mainpuri,CGWB,2018-11-30,4.45,27.40833333,78.97500000,2
Kurwar,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,5.76,26.35833333,81.97500000,2
Kushambhi,Uttar Pradesh,Kaushambi,CGWB,2018-11-30,11.58,25.34722222,81.38055556,2
Kusitali,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,2.52,26.17388889,81.76222222,2
Kutta,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,3.75,26.44722222,82.01666667,2
Ladiri bazar,Uttar Pradesh,Allahabad,CGWB,2018-11-30,2.49,25.00000000,81.92916667,2
Lakhaothi Pz,Uttar Pradesh,Buland Shahar,CGWB,2018-11-30,7.51,28.52222222,77.97777778,2
Lalganj,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,2.53,25.02083333,82.36388889,2
Lalganj2,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,1.25,25.93333333,81.70000000,2
Lalgopalganj,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,4.22,25.67500000,81.63333333,2
Lambua Pz-GWD,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,6.21,26.14000000,82.23000000,2
Laxmanganjbazar,Uttar Pradesh,Raibareli,CGWB,2018-11-30,2.57,26.15000000,81.35833333,2
Lehdari,Uttar Pradesh,Kaushambi,CGWB,2018-11-30,12.92,25.75138889,81.37916667,2
Locha,Uttar Pradesh,Etah,CGWB,2018-11-30,12.1,27.45333333,78.21333333,2
Lohangpur,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,6.48,25.06666667,82.49000000,2
Lu New Campus,Uttar Pradesh,Lucknow,CGWB,2018-11-30,21.3,26.90833333,80.94305556,2
Machhalishahr,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,1.13,25.68750000,82.40416667,2
Machhara Shallowpz,Uttar Pradesh,Meerut,CGWB,2018-11-30,12.33,28.90138889,77.89305556,2
Maddupur,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,2.58,25.88750000,81.44861111,2
Madhogarh,Uttar Pradesh,Jalaun,CGWB,2018-11-30,2.1,26.27500000,79.19166667,2
Madora chowki,Uttar Pradesh,Shrawasti,CGWB,2018-11-30,2.25,27.50555556,81.93333333,2
Maharajganj1,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,5.0,25.84166667,82.39166667,2
Maheshganj,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,3.85,25.67000000,82.29666667,2
Mahewa,Uttar Pradesh,Jalaun,CGWB,2018-11-30,16.5,26.15416667,79.64166667,2
Mahmudpurmafi Pz GWD,Uttar Pradesh,Moradabad,CGWB,2018-11-30,14.3,28.65888889,78.65972222,2
Mahona,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,3.86,26.53333333,81.58333333,2
Mahrua gola,Uttar Pradesh,Ambedkar Nagar,CGWB,2018-11-30,7.36,26.40833333,82.39166667,2
Maidawal,Uttar Pradesh,Sant Kabir Nagar,CGWB,2018-11-30,4.96,26.96666667,83.11666667,2
Makur,Uttar Pradesh,Unnao,CGWB,2018-11-30,2.64,26.65000000,80.63333333,2
Mal,Uttar Pradesh,Lucknow,CGWB,2018-11-30,12.14,27.02222222,80.74166667,2
Malauna,Uttar Pradesh,Unnao,CGWB,2018-11-30,1.31,26.35555556,80.82083333,2
Malka Harhar,Uttar Pradesh,Allahabad,CGWB,2018-11-30,15.69,25.53500000,81.81666667,2
Mallhan,Uttar Pradesh,Praygraj,CGWB,2018-11-30,6.2,25.61111111,82.09722222,2
Mandari,Uttar Pradesh,Kaushambi,CGWB,2018-11-30,24.68,25.43666667,81.72166667,2
Mandhata,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,8.06,25.79222222,81.87888889,2
Maniari aliganj,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,2.01,26.33000000,81.87666667,2
Mankapur,Uttar Pradesh,Gonda,CGWB,2018-11-30,5.88,27.03333333,82.25000000,2
Mansa Nagla Pz GWD,Uttar Pradesh,Budaun,CGWB,2018-11-30,16.8,27.84166667,79.30833333,2
Mansurganj,Uttar Pradesh,Kushinagar,CGWB,2018-11-30,1.61,26.90555556,83.60000000,2
Mardanpur,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,3.56,26.56250000,81.61666667,2
Marihan,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,11.1,24.92916667,82.67500000,2
Marihun,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,2.97,25.58888889,82.50000000,2
Marora,Uttar Pradesh,Jalaun,CGWB,2018-11-30,2.63,25.98333333,79.38333333,2
Marufpur xing,Uttar Pradesh,Chandauli,CGWB,2018-11-30,11.81,25.50833333,83.22083333,2
Masauli chaurah,Uttar Pradesh,Barabanki,CGWB,2018-11-30,3.96,26.98333333,81.29833333,2
Mat,Uttar Pradesh,Mathura,CGWB,2018-11-30,15.87,27.63333333,77.71666667,2
Mathauli,Uttar Pradesh,Kushinagar,CGWB,2018-11-30,1.72,26.86666667,83.75000000,2
Matrwa,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.82,26.34583333,81.44277778,2
Mau-Aima,Uttar Pradesh,Allahabad,CGWB,2018-11-30,7.12,25.70333333,81.91500000,2
Mau garbi,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.31,26.42138889,81.36055556,2
Mauranipur Rajpaharia,Uttar Pradesh,Jhansi,CGWB,2018-11-30,7.64,25.25833333,79.15000000,2
Maurawan,Uttar Pradesh,Unnao,CGWB,2018-11-30,7.65,26.43888889,80.88333333,2
Meja,Uttar Pradesh,Praygraj,CGWB,2018-11-30,3.24,25.14166667,82.10000000,2
Meja road,Uttar Pradesh,Praygraj,CGWB,2018-11-30,12.51,25.25000000,82.03000000,2
Methi Tikur,Uttar Pradesh,Unnao,CGWB,2018-11-30,2.39,26.69444444,80.43333333,2
Mewli (bhara),Uttar Pradesh,Agra,CGWB,2018-11-30,7.17,26.85833333,77.60000000,2
Mihipurwa,Uttar Pradesh,Bahraich,CGWB,2018-11-30,3.9,28.01583333,81.40055556,2
Milak Beniram,Uttar Pradesh,Bijnor,CGWB,2018-11-30,1.62,29.18638889,78.63055556,2
Mirganj Pz GWD,Uttar Pradesh,Bareilly,CGWB,2018-11-30,4.95,28.57500000,79.39000000,2
Mirzapur,Uttar Pradesh,Mirzapur,CGWB,2018-11-30,15.0,25.13333333,82.60000000,2
Modi Nagar-Pz I,Uttar Pradesh,Firozabad,CGWB,2018-11-30,6.54,28.84722222,77.57500000,2
Modi Nagar-Pz II,Uttar Pradesh,Firozabad,CGWB,2018-11-30,7.2,28.84722222,77.57500000,2
Mohand,Uttar Pradesh,Saharanpur,CGWB,2018-11-30,6.85,30.16805556,77.81944444,2
Mohanganj,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,12.81,25.88333333,81.90000000,2
Mohanganj1,Uttar Pradesh,Raibareli,CGWB,2018-11-30,1.92,26.24166667,81.48083333,2
Mohanlalganj,Uttar Pradesh,Lucknow,CGWB,2018-11-30,4.48,26.67638889,80.98333333,2
Morta Pz GWD,Uttar Pradesh,Ghaziabad,CGWB,2018-11-30,21.06,28.72500000,77.48333333,2
Mugal sarai,Uttar Pradesh,Chandauli,CGWB,2018-11-30,0.79,25.27666667,83.13000000,2
Muirpur,Uttar Pradesh,Sonbhadra,CGWB,2018-11-30,3.4,24.11666667,83.05500000,2
Mungra Badshahpur,Uttar Pradesh,Jaunpur,CGWB,2018-11-30,8.24,25.66111111,82.19305556,2
Munshiganj,Uttar Pradesh,Lucknow,CGWB,2018-11-30,3.57,26.74944444,81.15500000,2
Munshiganj1,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,5.1,26.21250000,81.81250000,2
Musafirkhana,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,2.18,26.37916667,81.79583333,2
Naghipur bajhan,Uttar Pradesh,Sultanpur,CGWB,2018-11-30,1.66,26.34861111,82.23055556,2
Nagla rampichha,Uttar Pradesh,Mainpuri,CGWB,2018-11-30,2.98,27.11527778,79.13472222,2
Nagra Chhitar Singh,Uttar Pradesh,Mainpuri,CGWB,2018-11-30,2.67,27.28333333,77.66000000,2
Nagram,Uttar Pradesh,Lucknow,CGWB,2018-11-30,1.2,26.63333333,81.13333333,2
Naini,Uttar Pradesh,Allahabad,CGWB,2018-11-30,13.33,25.35416667,81.87500000,2
Nanasukul purwa,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,5.93,25.75833333,81.59333333,2
Nanpara,Uttar Pradesh,Bahraich,CGWB,2018-11-30,8.56,27.86111111,81.51111111,2
Narainpur,Uttar Pradesh,Pratapgarh,CGWB,2018-11-30,4.89,26.01111111,82.12916667,2
Narar(jamnipur),Uttar Pradesh,Jaunpur,CGWB,2018-11-30,2.06,25.58888889,82.25833333,2
Nathnagar,Uttar Pradesh,Sant Kabir Nagar,CGWB,2018-11-30,3.87,26.60500000,83.03111111,2
Naugarh,Uttar Pradesh,Chandauli,CGWB,2018-11-30,4.98,24.82833333,83.22833333,2
Naurangia,Uttar Pradesh,Kushinagar,CGWB,2018-11-30,1.17,27.03333333,83.90000000,2
Nawabganj1,Uttar Pradesh,Bareilly,CGWB,2018-11-30,3.62,28.54305556,79.44444444,2
